service_id,date,exception_type
Local_Weekday_1_2104-VMW_1111000,20210524,1
Local_Weekday_1_2104-VMW_1111100,20210524,1
GUS1_Weekday_1_2101-GL_1111100,20210525,1
GUS2GUS3_Weekday_1_2101-GL_1111100,20210525,1
Local_Weekday_1_2104-PHNS_1111100,20210525,1
RAPID_Weekday_1_2104-PHNS_1111100,20210525,1
Local_Weekday_1_2104-PHW_1111100,20210525,1
SC_Weekday_1_2104-SC_1111100,20210525,1
SKYT_7-days_1_SKYT_1111111,20210525,1
VMLR_Mon-Sat_1_2101-VMLR_1111110,20210525,1
VMRU_Weekday_1_2104-VMRU_1111100,20210525,1
Express_Weekday_1_2104-VMTM_1111100,20210525,1
FLASH-C_Weekday_1_2104-VMTM_1111111,20210525,1
Local_Weekday_1_2104-VMTM_1111100,20210525,1
School_Weekday_1_2104-VMTM_1101100,20210525,1
School_Weekday_1_2104-VMTM_1111000,20210525,1
Express_Weekday_1_2104-VMW_1111100,20210525,1
Local_Weekday_1_2104-VMW_1111000,20210525,1
Local_Weekday_1_2104-VMW_1111100,20210525,1
GUS1_Weekday_1_2101-GL_1111100,20210526,1
GUS2GUS3_Weekday_1_2101-GL_1111100,20210526,1
Local_Weekday_1_2104-PHNS_1111100,20210526,1
RAPID_Weekday_1_2104-PHNS_1111100,20210526,1
Local_Weekday_1_2104-PHW_1111100,20210526,1
SC_Weekday_1_2104-SC_1111100,20210526,1
SKYT_7-days_1_SKYT_1111111,20210526,1
VMLR_Mon-Sat_1_2101-VMLR_1111110,20210526,1
VMRU_Weekday_1_2104-VMRU_1111100,20210526,1
Express_Weekday_1_2104-VMTM_1111100,20210526,1
FLASH-C_Weekday_1_2104-VMTM_1111111,20210526,1
Local_Weekday_1_2104-VMTM_1111100,20210526,1
School_Weekday_1_2104-VMTM_0010000,20210526,1
School_Weekday_1_2104-VMTM_1111000,20210526,1
Express_Weekday_1_2104-VMW_1111100,20210526,1
Local_Weekday_1_2104-VMW_1111000,20210526,1
Local_Weekday_1_2104-VMW_1111100,20210526,1
GUS1_Weekday_1_2101-GL_1111100,20210527,1
GUS2GUS3_Weekday_1_2101-GL_1111100,20210527,1
Local_Weekday_1_2104-PHNS_1111100,20210527,1
RAPID_Weekday_1_2104-PHNS_1111100,20210527,1
Local_Weekday_1_2104-PHW_1111100,20210527,1
SC_Weekday_1_2104-SC_1111100,20210527,1
SKYT_7-days_1_SKYT_1111111,20210527,1
VMLR_Mon-Sat_1_2101-VMLR_1111110,20210527,1
VMRU_Weekday_1_2104-VMRU_1111100,20210527,1
Express_Weekday_1_2104-VMTM_1111100,20210527,1
FLASH-C_Weekday_1_2104-VMTM_1111111,20210527,1
Local_Weekday_1_2104-VMTM_1111100,20210527,1
School_Weekday_1_2104-VMTM_1101100,20210527,1
School_Weekday_1_2104-VMTM_1111000,20210527,1
Express_Weekday_1_2104-VMW_1111100,20210527,1
Local_Weekday_1_2104-VMW_1111000,20210527,1
Local_Weekday_1_2104-VMW_1111100,20210527,1
GUS1_Weekday_1_2101-GL_1111100,20210528,1
GUS2GUS3_Weekday_1_2101-GL_1111100,20210528,1
Local_Weekday_1_2104-PHNS_1111100,20210528,1
RAPID_Weekday_1_2104-PHNS_1111100,20210528,1
Local_Weekday_1_2104-PHW_1111100,20210528,1
SC_Weekday_1_2104-SC_1111100,20210528,1
SKYT_7-days_1_SKYT_1111111,20210528,1
VMLR_Mon-Sat_1_2101-VMLR_1111110,20210528,1
VMRU_Weekday_1_2104-VMRU_1111100,20210528,1
Express_Weekday_1_2104-VMTM_1111100,20210528,1
FLASH-C_Weekday_1_2104-VMTM_1111111,20210528,1
Local_Weekday_1_2104-VMTM_1111100,20210528,1
School_Weekday_1_2104-VMTM_0000100,20210528,1
School_Weekday_1_2104-VMTM_1101100,20210528,1
Express_Weekday_1_2104-VMW_1111100,20210528,1
Local_Weekday_1_2104-VMW_0000100,20210528,1
Local_Weekday_1_2104-VMW_1111100,20210528,1
GUS1_Saturday_1_2101-GL_0000010,20210529,1
Local_Saturday_1_2104-PHNS_0000010,20210529,1
Local_Saturday_1_2104-PHW_0000010,20210529,1
SKYT_7-days_1_SKYT_1111111,20210529,1
VMLR_Mon-Sat_1_2101-VMLR_1111110,20210529,1
VMRU_Saturday_1_2104-VMRU_0000010,20210529,1
VMTM_Saturday_1_2104-VMTM_0000010,20210529,1
Local_Weekend_1_2104-VMW_0000011,20210529,1
GUS1_Sunday_1_2101-GL_0000001,20210530,1
Local_Sunday_1_2104-PHNS_0000001,20210530,1
Local_Sunday_1_2104-PHW_0000001,20210530,1
SKYT_7-days_1_SKYT_1111111,20210530,1
VMLR_Sunday_2_2101-VMLR_0000001,20210530,1
VMTM_Sunday_1_2104-VMTM_0000001,20210530,1
Local_Weekend_1_2104-VMW_0000011,20210530,1
GUS1_Sunday_1_2101-GL_0000001,20210531,1
Local_Sunday_1_2104-PHNS_0000001,20210531,1
Local_Sunday_1_2104-PHW_0000001,20210531,1
SKYT_7-days_1_SKYT_1111111,20210531,1
VMLR_Sunday_2_2101-VMLR_0000001,20210531,1
VMTM_Sunday_1_2104-VMTM_0000001,20210531,1
Local_Weekend_1_2104-VMW_0000011,20210531,1
GUS1_Weekday_1_2101-GL_1111100,20210601,1
GUS2GUS3_Weekday_1_2101-GL_1111100,20210601,1
Local_Weekday_1_2104-PHNS_1111100,20210601,1
RAPID_Weekday_1_2104-PHNS_1111100,20210601,1
Local_Weekday_1_2104-PHW_1111100,20210601,1
SC_Weekday_1_2104-SC_1111100,20210601,1
SKYT_7-days_1_SKYT_1111111,20210601,1
VMLR_Mon-Sat_1_2101-VMLR_1111110,20210601,1
VMRU_Weekday_1_2104-VMRU_1111100,20210601,1
Express_Weekday_1_2104-VMTM_1111100,20210601,1
FLASH-C_Weekday_1_2104-VMTM_1111111,20210601,1
Local_Weekday_1_2104-VMTM_1111100,20210601,1
School_Weekday_1_2104-VMTM_1101100,20210601,1
School_Weekday_1_2104-VMTM_1111000,20210601,1
Express_Weekday_1_2104-VMW_1111100,20210601,1
Local_Weekday_1_2104-VMW_1111000,20210601,1
Local_Weekday_1_2104-VMW_1111100,20210601,1
GUS1_Weekday_1_2101-GL_1111100,20210602,1
GUS2GUS3_Weekday_1_2101-GL_1111100,20210602,1
Local_Weekday_1_2104-PHNS_1111100,20210602,1
RAPID_Weekday_1_2104-PHNS_1111100,20210602,1
Local_Weekday_1_2104-PHW_1111100,20210602,1
SC_Weekday_1_2104-SC_1111100,20210602,1
SKYT_7-days_1_SKYT_1111111,20210602,1
VMLR_Mon-Sat_1_2101-VMLR_1111110,20210602,1
VMRU_Weekday_1_2104-VMRU_1111100,20210602,1
Express_Weekday_1_2104-VMTM_1111100,20210602,1
FLASH-C_Weekday_1_2104-VMTM_1111111,20210602,1
Local_Weekday_1_2104-VMTM_1111100,20210602,1
School_Weekday_1_2104-VMTM_0010000,20210602,1
School_Weekday_1_2104-VMTM_1111000,20210602,1
Express_Weekday_1_2104-VMW_1111100,20210602,1
Local_Weekday_1_2104-VMW_1111000,20210602,1
Local_Weekday_1_2104-VMW_1111100,20210602,1
GUS1_Weekday_1_2101-GL_1111100,20210603,1
GUS2GUS3_Weekday_1_2101-GL_1111100,20210603,1
Local_Weekday_1_2104-PHNS_1111100,20210603,1
RAPID_Weekday_1_2104-PHNS_1111100,20210603,1
Local_Weekday_1_2104-PHW_1111100,20210603,1
SC_Weekday_1_2104-SC_1111100,20210603,1
SKYT_7-days_1_SKYT_1111111,20210603,1
VMLR_Mon-Sat_1_2101-VMLR_1111110,20210603,1
VMRU_Weekday_1_2104-VMRU_1111100,20210603,1
Express_Weekday_1_2104-VMTM_1111100,20210603,1
FLASH-C_Weekday_1_2104-VMTM_1111111,20210603,1
Local_Weekday_1_2104-VMTM_1111100,20210603,1
School_Weekday_1_2104-VMTM_1101100,20210603,1
School_Weekday_1_2104-VMTM_1111000,20210603,1
Express_Weekday_1_2104-VMW_1111100,20210603,1
Local_Weekday_1_2104-VMW_1111000,20210603,1
Local_Weekday_1_2104-VMW_1111100,20210603,1
GUS1_Weekday_1_2101-GL_1111100,20210604,1
GUS2GUS3_Weekday_1_2101-GL_1111100,20210604,1
Local_Weekday_1_2104-PHNS_1111100,20210604,1
RAPID_Weekday_1_2104-PHNS_1111100,20210604,1
Local_Weekday_1_2104-PHW_1111100,20210604,1
SC_Weekday_1_2104-SC_1111100,20210604,1
SKYT_7-days_1_SKYT_1111111,20210604,1
VMLR_Mon-Sat_1_2101-VMLR_1111110,20210604,1
VMRU_Weekday_1_2104-VMRU_1111100,20210604,1
Express_Weekday_1_2104-VMTM_1111100,20210604,1
FLASH-C_Weekday_1_2104-VMTM_1111111,20210604,1
Local_Weekday_1_2104-VMTM_1111100,20210604,1
School_Weekday_1_2104-VMTM_0000100,20210604,1
School_Weekday_1_2104-VMTM_1101100,20210604,1
Express_Weekday_1_2104-VMW_1111100,20210604,1
Local_Weekday_1_2104-VMW_0000100,20210604,1
Local_Weekday_1_2104-VMW_1111100,20210604,1
GUS1_Saturday_1_2101-GL_0000010,20210605,1
Local_Saturday_1_2104-PHNS_0000010,20210605,1
Local_Saturday_1_2104-PHW_0000010,20210605,1
SKYT_7-days_1_SKYT_1111111,20210605,1
VMLR_Mon-Sat_1_2101-VMLR_1111110,20210605,1
VMRU_Saturday_1_2104-VMRU_0000010,20210605,1
VMTM_Saturday_1_2104-VMTM_0000010,20210605,1
Local_Weekend_1_2104-VMW_0000011,20210605,1
GUS1_Sunday_1_2101-GL_0000001,20210606,1
Local_Sunday_1_2104-PHNS_0000001,20210606,1
Local_Sunday_1_2104-PHW_0000001,20210606,1
SKYT_7-days_1_SKYT_1111111,20210606,1
VMLR_Sunday_2_2101-VMLR_0000001,20210606,1
VMTM_Sunday_1_2104-VMTM_0000001,20210606,1
Local_Weekend_1_2104-VMW_0000011,20210606,1
GUS1_Weekday_1_2101-GL_1111100,20210607,1
GUS2GUS3_Weekday_1_2101-GL_1111100,20210607,1
Local_Weekday_1_2104-PHNS_1111100,20210607,1
RAPID_Weekday_1_2104-PHNS_1111100,20210607,1
Local_Weekday_1_2104-PHW_1111100,20210607,1
SC_Weekday_1_2104-SC_1111100,20210607,1
SKYT_7-days_1_SKYT_1111111,20210607,1
VMLR_Mon-Sat_1_2101-VMLR_1111110,20210607,1
VMRU_Weekday_1_2104-VMRU_1111100,20210607,1
Express_Weekday_1_2104-VMTM_1111100,20210607,1
